bayc_id,bakc_id,mayc_m1_id,mayc_m2_id,mayc_m3_id,all_mayc_ids,notes,source_confidence
8603,,,,,,NO_MAYC; NO_BAKC,confirmed
8604,8604,27208,,,27208,,confirmed
8605,8605,,,,,NO_MAYC,confirmed
8606,8606,27212,27213,,"27212,27213",,confirmed
8607,8607,27214,,,27214,,confirmed
8608,8608,27216,,,27216,,confirmed
8609,8609,27218,,,27218,,confirmed
8610,8610,27220,,,27220,,confirmed
8611,8611,27222,,,27222,,confirmed
8612,8612,,,,,NO_MAYC,confirmed
8613,8613,27226,,,27226,,confirmed
8614,8614,27228,,,27228,,confirmed
8615,8615,,,,,NO_MAYC,confirmed
8616,,27232,,,27232,NO_BAKC,confirmed
8617,8617,27234,,,27234,,confirmed
8618,8618,27236,,,27236,,confirmed
8619,8619,27238,27239,,"27238,27239",,confirmed
8620,8620,27240,,,27240,,confirmed
8621,,,,,,NO_MAYC; NO_BAKC,confirmed
8622,8622,27244,,,27244,,confirmed
8623,,27246,,,27246,NO_BAKC,confirmed
8624,8624,27248,,,27248,,confirmed
8625,8625,27250,,,27250,,confirmed
8626,8626,27252,,,27252,,confirmed
8627,8627,,,,,NO_MAYC,confirmed
8628,8628,27256,,,27256,,confirmed
8629,8629,27258,,,27258,,confirmed
8630,8630,27260,,,27260,,confirmed
8631,8631,27262,,,27262,,confirmed
8632,8632,,,,,NO_MAYC,confirmed
8633,8633,27266,27267,,"27266,27267",,confirmed
8634,8634,27268,,,27268,,confirmed
8635,8635,27270,,,27270,,confirmed
8636,8636,,,,,NO_MAYC,confirmed
8637,8637,27274,,,27274,,confirmed
8638,8638,27276,,,27276,,confirmed
8639,8639,,,,,NO_MAYC,confirmed
8640,8640,,,,,NO_MAYC,confirmed
8641,8641,27282,,,27282,,confirmed
8642,8642,27284,27285,,"27284,27285",,confirmed
8643,8643,27286,,,27286,,confirmed
8644,8644,27288,27289,,"27288,27289",,confirmed
8645,8645,27290,,,27290,,confirmed
8646,8646,27292,27293,,"27292,27293",,confirmed
8647,8647,,,,,NO_MAYC,confirmed
8648,,27296,,,27296,NO_BAKC,confirmed
8649,8649,,,,,NO_MAYC,confirmed
8650,8650,27300,27301,,"27300,27301",,confirmed
8651,8651,,,,,NO_MAYC,confirmed
8652,8652,,,,,NO_MAYC,confirmed
8653,8653,27306,,,27306,,confirmed
8654,8654,27308,,,27308,,confirmed
8655,8655,27310,27311,,"27310,27311",,confirmed
8656,8656,27312,,,27312,,confirmed
8657,8657,27314,,,27314,,confirmed
8658,8658,27316,,,27316,,confirmed
8659,8659,,,,,NO_MAYC,confirmed
8660,8660,27320,27321,,"27320,27321",,confirmed
8661,8661,,27323,,27323,,confirmed
8662,8662,27324,27325,,"27324,27325",,confirmed
8663,8663,27326,27327,,"27326,27327",,confirmed
8664,8664,27328,27329,,"27328,27329",,confirmed
8665,8665,27330,27331,,"27330,27331",,confirmed
8666,8666,,,,,NO_MAYC,confirmed
8667,8667,27334,,,27334,,confirmed
8668,8668,,,,,NO_MAYC,confirmed
8669,8669,,,,,NO_MAYC,confirmed
8670,8670,27340,,,27340,,confirmed
8671,8671,27342,,,27342,,confirmed
8672,8672,,,,,NO_MAYC,confirmed
8673,8673,,,,,NO_MAYC,confirmed
8674,8674,27348,27349,,"27348,27349",,confirmed
8675,8675,27350,,,27350,,confirmed
8676,8676,27352,,,27352,,confirmed
8677,8677,,,,,NO_MAYC,confirmed
8678,8678,,,,,NO_MAYC,confirmed
8679,8679,27358,27359,,"27358,27359",,confirmed
8680,8680,27360,,,27360,,confirmed
8681,8681,27362,,,27362,,confirmed
8682,8682,27364,,,27364,,confirmed
8683,8683,27366,,,27366,,confirmed
8684,8684,,,,,NO_MAYC,confirmed
8685,8685,27370,,,27370,,confirmed
8686,8686,27372,27373,,"27372,27373",,confirmed
8687,8687,,,,,NO_MAYC,confirmed
8688,8688,,,,,NO_MAYC,confirmed
8689,8689,27378,,,27378,,confirmed
8690,8690,27380,,,27380,,confirmed
8691,8691,,,,,NO_MAYC,confirmed
